JP-5,JET/KEROSENEs,Middle Distillates,AVIATION KEROSENEs
GASOIL BLEND,GAS OIL,Middle Distillates,Dyed Gas Oil
PETCOKE,Special Products,Special Products,Dirty Condensates
DIESEL 0.1 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
BLOCKED SULFUR,SULPHUR,Special Products,0
GASOLINE 95 (LOW OLEFIN),GASOLINE,Blending,Unleaded Motor Spirit
NAPHTHA BLEND,NAPHTHA,NAPHTHA,NAPHTHA
FUEL OIL,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
PARAXYLENE,Aromatics,Aromatics,methanol
GASOLINE 90 BLEND,GASOLINE,Blending,Unleaded Motor Spirit
PPHHP40GAT1375,PP homo,Polymers,Solvents
PPHHP40GAT1000,PP homo,Polymers,Solvents
PPHHP40GAT0025,PP homo,Polymers,Solvents
PPHHP40GAT0000,PP homo,Polymers,Solvents
PPHHP30GAT1375,PP homo,Polymers,Solvents
PPHHP30GAT1000,PP homo,Polymers,Solvents
PPHHP30GAT0025,PP homo,Polymers,Solvents
PPHHP30GAT0000,PP homo,Polymers,Solvents
PPHHP30EGAT1375,PP homo,Polymers,Solvents
PPHHP30EGAT1000,PP homo,Polymers,Solvents
PPHHP30EGAT0025,PP homo,Polymers,Solvents
PPHHP30EGAT0000,PP homo,Polymers,Solvents
PPHHP22GAT1375,PP homo,Polymers,Solvents
PPHHP22GAT0025,PP homo,Polymers,Solvents
MTBE,GASOLINE,Blending,MTBE
CRUDE,CRUDE,Crude Oil,Dirty Condensates
NAPHTHA A-180,NAPHTHA,NAPHTHA,NAPHTHA
LIGHT NAPHTHA A-305,NAPHTHA,NAPHTHA,NAPHTHA
WHOLE NAPHTHA A-310,NAPHTHA,NAPHTHA,NAPHTHA
DIESEL 0.08 PCT SULFUR,GAS OIL,Middle Distillates,Ultra Low Sulphur Diesel
DUAL PURPOSE KEROSENEs,JET/KEROSENEs,Middle Distillates,KEROSENEs (dyed)
REFORMATE SASREF,GASOLINE,Light Distillates,Unleaded Motor Spirit
LIQUID SULFUR,SULPHUR,Special Products,0
UNTREATED NAPHTHA RBR,NAPHTHA,Light Distillates,NAPHTHA
SULFUR,SULPHUR,Special Products,0
PROPANE,LPG,LPG,NAPHTHA
BUTANE,LPG,LPG,NAPHTHA
DIESEL 500 PPM,GAS OIL,Middle Distillates,Ultra Low Sulphur Diesel
JET SASREF,JET/KEROSENEs,Middle Distillates,AVIATION KEROSENEs
GASOIL 0.5 PCT SASREF,GAS OIL,Middle Distillates,Dyed Gas Oil
GASOIL 0.25 PCT SASREF,GAS OIL,Middle Distillates,Dyed Gas Oil
GASOIL 0.05 PCT SASREF,GAS OIL,Middle Distillates,Dyed Gas Oil
GASOIL 10PPM,GAS OIL,Middle Distillates,Ultra Low Sulphur Diesel
RESIDUAL FUEL OIL 4 PCT,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
RESIDUAL FUEL OIL 3.7PCT,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
RESIDUAL FUEL OIL 3.5PCT,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
LONG RESIDUE SASREF,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
JET RBR,JET/KEROSENEs,Middle Distillates,AVIATION KEROSENEs
DIESEL 500 PPM RBR,GAS OIL,Middle Distillates,Ultra Low Sulphur Diesel
DIESEL 0.08 PCT RBR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 0.5 PCT RBR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 1.0 PCT RBR,GAS OIL,Middle Distillates,Dyed Gas Oil
HSID RBR,GAS OIL,Middle Distillates,Dyed Gas Oil
STRAIGHT RUN FO 380 RBR,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
FUEL OIL 380 RBR,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
GASOLINE 95 SAMREF,GASOLINE,Light Distillates,Unleaded Motor Spirit
GASOLINE 91 SAMREF,GASOLINE,Light Distillates,Unleaded Motor Spirit
JET SAMREF,JET/KEROSENEs,Middle Distillates,AVIATION KEROSENEs
SOUR NAPHTHA SAMREF,NAPHTHA,Light Distillates,NAPHTHA
ADO 0.05 PCT,GAS OIL,Middle Distillates,Ultra Low Sulphur Diesel
ADO 0.25 PCT,GAS OIL,Middle Distillates,Dyed Gas Oil
ADO 0.5 PCT,GAS OIL,Middle Distillates,Dyed Gas Oil
ADO 1 PCT,GAS OIL,Middle Distillates,Dyed Gas Oil
FUEL OIL 380CST SAMREF,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
FUEL OIL 180CST SAMREF,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
SULFUR RBR,SULPHUR,Special Products,0
GASOLINE 95 SAMREF N STD,GASOLINE,Light Distillates,Unleaded Motor Spirit
GASOLINE 91 SAMREF N STD,GASOLINE,Light Distillates,Unleaded Motor Spirit
SULFUR SAMREF,SULPHUR,Special Products,0
FUEL OIL 650 CST,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
FUEL OIL SAMREF NON STD,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
WHOLE NAPHTHA A-315,NAPHTHA,NAPHTHA,NAPHTHA
GASOLINE 91 BLEND,GASOLINE,Blending,Unleaded Motor Spirit
UNLEADED GASOLINE,GASOLINE,Blending,Unleaded Motor Spirit
GASOLINE 95 BLEND,GASOLINE,Blending,Unleaded Motor Spirit
LCO,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
ALKYLATE,GASOLINE,Blending,Unleaded Motor Spirit
KEROSENEs,JET/KEROSENEs,Middle Distillates,KEROSENEs (undyed)
SOUR KEROSENEs,JET/KEROSENEs,Middle Distillates,KEROSENEs (undyed)
FUEL OIL 380 IMP (A963),FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
FUEL OIL 380 IMP (A964),FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
GASOLINE 95 NON-OXY,GASOLINE,Blending,Unleaded Motor Spirit
TREATED NAPHTHA RBR,NAPHTHA,NAPHTHA,NAPHTHA
HEAVY NAPHTHA A-320,NAPHTHA,Light Distillates,NAPHTHA
GASOLINE 95,GASOLINE,Blending,Unleaded Motor Spirit
GASOLINE 91,GASOLINE,Blending,Unleaded Motor Spirit
AVGAS,JET/KEROSENEs,Middle Distillates,Avgas
JET A-1,JET/KEROSENEs,Middle Distillates,AVIATION KEROSENEs
JET JP-8,JET/KEROSENEs,Middle Distillates,AVIATION KEROSENEs
DIESEL 0.2 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 0.25 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 0.3 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 0.5 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 1 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
DIESEL 1.5 PCT SULFUR,GAS OIL,Middle Distillates,Dyed Gas Oil
BUNKER DIESEL FUEL OIL,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
UTILITIES FUEL OIL,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
STRAIGHT RUN FO 380,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
LONG RESIDUE 380,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
STRAIGHT RUN FO 180,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
FUEL OIL 180,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
FUEL OIL 380,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
CHEMICAL FEED NAPHTHA,NAPHTHA,NAPHTHA,NAPHTHA
VGO,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
SLOP,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
GASOLINE 97,GASOLINE,Blending,Unleaded Motor Spirit
NAPHTHA STM CRCKR FEED,NAPHTHA,Blending,NAPHTHA
ASPHALT,Special Products,Special Products,Dirty Condensates
LGO,GAS OIL,Middle Distillates,Dyed Gas Oil
KHUFF CONDENSATE,CONDENSATE,Crude Oil,Dirty Condensates
GASOLINE 92 NON-OXY,GASOLINE,Blending,Unleaded Motor Spirit
GASOLINE 90 NON-OXY,GASOLINE,Blending,Unleaded Motor Spirit
REFORMATE,GASOLINE,Blending,0
NAPHTHA,NAPHTHA,Blending,NAPHTHA
MCB,FUEL OIL,Fuel Oil & Residues,Heavy Fuel Oil
PPHHP150GAT0000,PP homo,Polymers,Solvents
PPBCP90NAT1375,PP copo,Polymers,Solvents
PPBCP90NAT1000,PP copo,Polymers,Solvents
PPBCP90NAT0025,PP copo,Polymers,Solvents
PPBCP90NAT0000,PP copo,Polymers,Solvents
PPBCP55NAT1375,PP copo,Polymers,Solvents
PPBCP55NAT1000,PP copo,Polymers,Solvents
PPBCP55NAT0025,PP copo,Polymers,Solvents
PPBCP55NAT0000,PP copo,Polymers,Solvents
PPBCP390NAT1375,PP copo,Polymers,Solvents
PPBCP390NAT1000,PP copo,Polymers,Solvents
PPBCP390NAT0025,PP copo,Polymers,Solvents
PPBCP390NAT0000,PP copo,Polymers,Solvents
PPBCP390NAAT1375,PP copo,Polymers,Solvents
PPBCP390NAAT1000,PP copo,Polymers,Solvents
PPBCP390NAAT0025,PP copo,Polymers,Solvents
PPBCP390NAAT0000,PP copo,Polymers,Solvents
PPBCP245NAT1375,PP copo,Polymers,Solvents
PPBCP245NAT1000,PP copo,Polymers,Solvents
PPBCP245NAT0025,PP copo,Polymers,Solvents
PPBCP245NAT0000,PP copo,Polymers,Solvents
PPBCP245NAAT1375,PP copo,Polymers,Solvents
